"","school_id","region_Campania","region_Lombardia","private_government","private_independent","school_size","overcrowded_classes","ISCED_orient","pcs_per_student","internet_percentage","edu_leadership","curricular_development","istructional_leadership","professional_development","curricular_responsability","resources_responsability","school_authonomy","teacher_participation","material_shortage","staff_shortage","certified_teacher_prop","teacher_num","sci_teacher_prop","certified_sci_teacher_prop","creative_activities","science_resources","teacher_hindering_behav","student_hindering_behav","student_teacher_ratio","pv5math"
"377","377",0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2002940232599
"378","378",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.0229353379387
"379","379",0,1,0,1,484,0,0,0.3509,1,0.6275,0.5511,0.0758,1.8133,0.0554,2.8245,1,8,-1.2541,-1.6823,0.9434,26.5,0.1698,1,3,5,-0.995,-1.0856,18.2642,51.8737146763059
"380","380",0,0,0,0,982,0,0,0.0994,1,0.0253,-1.1452,-0.4745,0.0231,-0.6097,-0.6941,0.5,6,0.4825,0.2838,0.9282,104.5,0.1148,0.8333,1,2,0.0166,0.6298,9.3971,44.5262814292879
"381","381",1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5537258919136
"382","382",0,0,0,0,457,0,0,0.3788,1,0.8898,1.5763,-0.2952,1.8133,0.3405,-0.7644,0.58,2,0.9328,-0.044,0.9712,52,0.1923,1,2,5,-0.6684,-2.1182,8.7885,48.1780157651734
"383","383",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.4324264415487
"384","384",0,0,0,0,1103,0,0,0.1288,1,0.2509,-0.1461,0.5323,-0.2927,-0.2296,-0.782,0.5,4,-1.2541,0.7186,1,76,0.4408,1,1,7,-2.3872,-0.6642,14.5132,56.8085672470823
"385","385",0,0,0,0,233,0,0,0.0405,1,-0.4289,-0.4605,-0.4652,-0.4247,1.4806,-0.6061,0.67,5,0.3271,0.9639,1,22.5,0.1556,1,2,4,-0.3334,1.3234,10.3556,42.0215639432286
"386","386",0,0,0,0,1070,0,0,0.1919,1,0.0403,0.4393,0.4846,-0.4247,1.4806,-0.5181,0.83,5,0.2467,0.7848,0.7905,126.5,0.1621,0.8293,3,3,0.8947,0.9233,8.4585,55.4660022136391
"387","387",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.9168028202885
"388","388",1,0,0,0,1407,0,1,0.1796,1,0.1609,-0.1461,0.0833,0.4475,1.4806,-0.782,0.5,4,0.3922,0.7397,0.7632,133,0.1429,1,1,4,-0.7223,0.6298,10.5789,46.7029146906187
"389","389",0,0,1,0,94,0,1,1.5294,1,-0.4476,-0.1162,-1.1093,-0.8791,0.0554,0.7134,0.92,5,-1.2541,-1.6823,0.56,12.5,0.08,1,0,7,1.5715,-0.8106,7.52,44.8992286704069
"390","390",0,0,1,0,395,0,0,0.7692,1,0.1315,0.1512,-0.2147,0.9596,-0.4196,0.1856,0.58,5,-1.2541,0.7317,0.5905,52.5,0.4095,0.3488,0,5,0.4447,-0.8695,7.5238,54.8606947784661
"391","391",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.5561817475108
"392","392",0,0,0,0,113,0,1,0.8421,1,-0.7071,-0.4435,-0.2864,-0.7451,-0.2296,-0.6589,0.67,3,3.6096,0.5301,0.6545,27.5,0.5455,0.5333,0,3,0.4447,0.8718,4.1091,54.7352912908265
"393","393",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.3112270423275
"394","394",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3003483454042
"395","395",0,1,0,0,380,0,0,0.1119,1,NA,NA,NA,NA,-0.7997,-0.3422,0,0,NA,NA,0.9121,45.5,0.1758,0.9375,NA,NA,NA,NA,8.3516,46.5466917198421
"396","396",0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.0885390716734
"397","397",0,0,0,0,1108,0,1,0.458,0.3333,-0.4579,-0.8669,-0.1449,-0.4247,1.4806,-0.6941,0.58,5,1.7302,-1.6823,0.9103,156,0.1955,1,2,0,0.8947,0.9233,7.1026,41.8720131437663
"398","398",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.4243053966396
"399","399",1,0,0,0,1310,0,1,0.1907,1,-0.1412,-0.3971,0.0557,0.9596,1.4806,-0.782,0.58,4,-0.1328,0.4652,0.6951,164,0.0244,1,1,2,0.4463,1.2432,7.9878,41.9315422912124
"400","400",0,0,0,0,92,1,0,0.3261,1,-0.8962,-0.8669,-1.223,0.0558,1.4806,-0.782,0.58,5,-0.6423,-0.044,1,33,0.2273,1,1,6,0.8947,1.3253,2.7879,55.9619101438031
"401","401",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.3862977779122
"402","402",1,0,0,0,1734,0,1,0.1596,1,-0.2969,-0.1461,-0.5081,0.7176,0.0554,-0.6589,0.67,4,-0.1328,0.345,0.8478,167.5,0.1343,1,0,6,0.8947,-0.9281,10.3522,45.3725252766017
"403","403",1,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.7664517240909
"404","404",0,1,1,0,321,1,1,1.8642,1,0.5602,-0.8893,0.809,0.7618,1.4806,0.0097,0.83,4,0.068,-1.6823,0.1351,18.5,0.5676,0.0952,1,7,-0.72,0.5711,17.3514,41.910217771121
"405","405",0,0,0,0,279,0,1,2.3469,1,-1.0295,-0.5994,-1.223,-2.1242,0.0554,-0.5181,0.83,5,-0.3301,0.6507,0.3766,38.5,0.1948,0.5333,1,7,0.2652,1.1957,7.2468,55.8965930389361
"406","406",0,1,0,0,1140,0,0,0.3937,1,-0.3987,0.4393,0.0557,-0.6676,-0.2296,-0.6941,0.58,3,1.1587,0.345,0.8739,115,0.0913,0.9048,2,6,-0.3334,0.2229,9.913,56.7236312281269
"407","407",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.5040297538328
"408","408",0,0,0,0,114,0,1,1,1,-1.0767,-1.4467,-0.7967,-0.6676,0.9105,-0.782,0.58,3,-0.1328,0.2838,0.9322,59,0.1949,1,0,6,0.0185,1.2496,1.9322,48.0867504408801
"409","409",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.7632328562998
"410","410",0,0,0,0,805,0,1,1.0121,1,-0.5764,-0.1461,-0.7967,-0.6512,-0.7997,-0.7946,0.5,4,-1.2541,-0.9308,0.7062,88.5,0,0,0,3,0.4463,-0.2386,9.096,49.53392868933
"411","411",0,0,0,0,916,0,1,0.398,1,0.7778,-0.8251,0.5864,1.8133,-0.4196,0.0097,0.83,8,0.9559,1.3659,0.9784,115.5,0.7229,0.9701,2,5,0.6826,2.4059,7.9307,50.211147937247
"412","412",0,0,0,0,1027,0,0,0.2463,1,0.7674,0.828,0.2836,1.8133,1.4806,-0.6941,0.58,4,-0.3301,0.8387,0.8092,76,0.2303,0.9714,1,6,-2.3872,0.6298,13.5132,51.6676858953281
"413","413",1,0,0,0,1096,0,0,0.2647,1,0.1486,0.4728,0.7223,-0.4247,1.4806,-0.6941,0.58,5,0.4084,1.7116,0.5024,102.5,0.239,0.6327,2,6,0.4447,1.891,10.6927,54.372251527465
"414","414",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.6980915006719
"415","415",1,0,0,0,172,0,1,0.4651,1,-0.4905,-0.1864,-0.5081,-0.4247,0.9105,-0.782,0.58,2,1.9124,0.7237,0.8152,92,0.1848,1,0,6,2.0849,1.8849,1.8696,47.4151855930361
"416","416",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.9589370977746
"417","417",0,0,0,0,413,0,0,0.9775,1,-0.8073,-1.1452,-0.4317,-2.1242,0.0554,-0.4477,0.83,5,-0.3301,0.9091,0.7848,39.5,0.2658,0.9048,1,7,0.0185,1.2394,10.4557,55.7783339448897
"418","418",0,0,1,0,945,0,1,0.5248,1,-1.4105,-0.8669,-1.2693,-1.2401,1.4806,1.2412,1,5,-0.1328,-0.3657,0.4769,32.5,0.5231,0.2647,1,6,-0.1953,0.4927,29.0769,46.7782006599762
"419","419",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4425164565174
"420","420",0,0,0,0,693,0,1,0.3704,1,0.2842,0.4393,0.5388,-0.1082,1.4806,-0.782,0.58,4,0.3248,-1.6823,0.6879,78.5,0.0318,1,1,4,0.0166,-0.9281,8.828,42.0099987361009
"421","421",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.1250002480732
"422","422",0,0,0,0,727,0,1,0.1634,0,1.6847,0.7631,2.2317,0.7176,1.4806,-0.5181,0.75,4,0.9328,-0.1049,0.8685,106.5,0.1033,1,0,1,0.0185,0.8718,6.8263,39.2812243148272
"423","423",0,0,0,0,782,0,1,0.9036,1,-0.5903,-0.3971,-0.1449,-0.1082,-0.6097,-0.6941,0.42,4,-0.3301,0.0814,0.5787,89,0.3652,0.7385,1,6,-0.348,0.2229,8.7865,57.5817194335656
"424","424",0,1,0,0,287,0,1,2.0333,1,0.4838,0.2784,-0.0446,0.1158,-0.6097,-0.7946,0.42,1,-0.3425,1.4805,0.0426,23.5,0.234,0.1818,2,2,0.8947,1.8402,12.2128,43.17760475998
"425","425",1,0,0,0,796,0,1,0.7874,1,-1.3521,-1.1452,-0.8459,-0.4247,-0.2296,-0.782,0.5,4,1.5141,0.0242,0.8958,96,0.0417,1,NA,5,0.829,-0.8644,8.2917,37.6702348494075
"426","426",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.673286162173
"427","427",0,0,0,0,NA,0,1,NA,NA,0.2784,-0.632,0.5388,0.3471,-0.6097,-0.6061,0.58,4,-1.2541,1.2433,NA,NA,NA,NA,2,7,0.8947,-0.0467,NA,53.1527122415478
"428","428",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.1247540319154
"429","429",1,0,0,0,1045,0,0,0.3169,0.8052,0.5126,0.1512,0.8623,0.7618,0.0554,-0.6941,0.58,5,NA,NA,1,88,0.2557,1,1,7,-0.348,-0.6066,11.875,46.9233444939965
"430","430",0,0,1,0,101,0,1,1,1,0.5289,0.375,0.3157,1.1284,-0.4196,0.0537,1,5,1.0713,-0.5392,0,17,0.3529,0,2,3,0.5094,-0.7289,5.9412,43.8706533807819
"431","431",0,0,0,0,1170,0,1,0.2157,1,0.2524,-1.1189,0.7223,0.6406,-0.7997,-0.6941,0.5,3,1.7302,1.6159,0.7762,138.5,0.3502,0.8866,1,6,1.381,1.347,8.4477,49.8701510754055
"432","432",1,0,0,0,478,0,0,0.7143,1,0.0703,7e-04,-0.1449,0.7176,1.4806,-0.6941,0.58,5,0.4825,0.7317,0.9821,56,0.1518,1,2,4,-0.995,0.2229,8.5357,48.8670566703788
"433","433",1,0,0,0,968,0,0,0.823,1,0.5963,-0.2882,1.0434,0.7176,1.4806,-0.6941,0.58,4,-1.2541,-1.6823,1,72,0.3056,1,2,5,0.0185,0.6298,13.4444,53.1057640944191
"434","434",0,0,0,0,564,0,0,0.9174,0.8,0.2101,-0.1461,0.2905,0.3642,-0.2296,-0.6941,0.5,4,-0.849,0.4704,NA,NA,NA,NA,2,5,NA,NA,NA,53.79121230223
"435","435",0,1,0,0,694,0,1,1.0066,1,0.3033,-0.0627,0.3473,0.6203,1.4806,-0.3422,0.75,3,-0.1328,0.2838,0.1026,58.5,0.1538,0.0556,0,5,-0.348,0.2229,11.8632,44.5129561699795
"436","436",0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.123560390246
"437","437",0,0,0,0,844,0,0,1.0376,1,0.3087,0.4393,0.7844,0.0394,-0.2296,-0.782,0.5,3,1.4288,0.9091,1,59,0.0678,1,3,1,-0.6814,1.1957,14.3051,53.1311853920666
"438","438",0,0,0,0,792,0,1,0.2614,1,-0.0863,-0.1461,0.0833,0.3471,1.4806,-0.5533,0.67,5,-0.0265,0.7237,0.9515,51.5,0.068,1,3,5,0.4447,1.589,15.3786,50.122620077365
"439","439",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5492780368755
"440","440",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.5471544297265
"441","441",1,0,0,1,NA,0,0,NA,0.5,1.0815,1.5115,0.9882,0.1158,1.4806,2.2968,1,3,-0.849,-0.9308,0.7273,55,0.0636,0.5714,0,6,-0.6684,-2.1182,NA,43.8877156526029
"442","442",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6900355060552
"443","443",0,0,0,0,922,0,1,0.5,1,0.2017,0.7151,0.0557,0.2839,0.9105,-0.782,0.58,3,-0.3301,-0.4427,1,120,0.0667,1,0,6,0.0185,-0.4866,7.6833,42.5912716665115
"444","444",1,0,0,0,609,0,0,0.5172,1,0.1245,-1.4467,0.7777,0.5291,1.4806,-0.7644,0.67,4,-0.1328,0.2838,1,63,0.1587,1,3,7,-0.3334,0.617,9.6667,48.4686051062149
"445","445",1,0,0,0,1016,1,0,0.1036,1,1.1043,0.4393,1.289,0.7395,-0.6097,-0.738,0.5,4,-0.4013,0.0814,1,105.5,0.0948,1,0,7,-0.995,1.1432,9.6303,50.9375184116989
"446","446",0,0,0,0,698,0,0,0.3731,1,-0.7663,-0.1461,-0.8852,-0.4247,-0.6572,-0.7192,0.58,4,0.2467,0.2921,1,55,0.1909,1,1,6,-0.995,-0.6066,12.6909,54.7296710187551
"447","447",1,0,0,0,1187,0,1,0.2237,1,-0.5213,-0.8669,-0.4745,-0.1245,1.4806,-0.6941,0.58,5,1.177,-0.2819,0.7828,145,0.0966,1,0,1,0.6826,-0.9281,8.1862,41.8745521013035
"448","448",1,0,0,0,925,0,1,0.4124,1,2.381,1.7023,1.5685,1.8133,1.4806,-0.6589,0.58,4,0.9328,-0.2041,1,92,0.0652,0.8333,2,7,1.4794,0.1547,10.0543,45.6687933809625
"449","449",0,0,0,0,370,0,1,1.3253,1,-0.5192,-0.3971,0.3225,-0.8959,-0.7997,-0.7192,0.5,3,-1.2541,0.4704,0.6591,44,0.2273,0.55,2,7,0.8947,1.7822,8.4091,49.1610116046754
"450","450",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.9571143584895
"451","451",1,0,0,0,741,0,1,0.4425,1,NA,NA,NA,NA,-0.7997,-0.3422,0,0,NA,NA,0.8291,117,0.3462,0.9753,NA,NA,NA,NA,6.3333,41.5677829554166
"452","452",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.372431672814
"453","453",1,0,0,0,1070,0,1,0.8366,1,-0.8005,-0.8669,-0.5081,-0.9907,1.4806,-0.6941,0.58,6,0.3922,0.2838,0.8862,123,0.0976,1,1,3,0.8947,-0.6066,8.6992,42.9256150985512
"454","454",0,0,0,0,601,0,0,1.0789,1,-0.8707,-0.8669,-0.2147,-0.9907,1.4806,-0.782,0.58,3,0.5881,-1.6823,1,63,0.1746,1,1,6,-0.6684,-2.1182,9.5397,41.6323239293372
"455","455",0,0,0,0,963,1,0,0.401,1,1.1322,0.2784,0.9808,1.8133,0.9105,-0.782,0.58,4,1.6094,1.7222,0.9389,65.5,0.2824,0.9459,2,5,0.8947,1.347,14.7023,52.2156898159517
"456","456",0,1,0,0,793,0,0,0.6159,1,-0.2615,-0.2305,-0.1754,-0.3319,-0.2296,-0.782,0.58,3,-0.0265,0.337,0.9412,68,0.1471,1,2,4,-0.6684,0.6298,11.6618,50.5337794819916
"457","457",0,0,NA,NA,588,0,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,53.4929045714169
"458","458",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.8509221792979
"459","459",0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.2405773288931
"460","460",0,0,0,0,1122,0,0,0.4783,1,-0.1327,7e-04,0.0201,0.1158,-0.4196,-0.782,0.58,4,-1.2541,-0.214,0.8762,101,0.3119,0.9365,2,5,0.0185,0.7561,11.1089,56.699418025987
"461","461",0,0,0,0,572,0,1,0.9259,1,1.0665,1.1362,0.7532,0.3642,-0.7997,-0.6941,0.5,5,0.0504,1.1083,0.6535,63.5,0.5197,0.5909,1,7,0.2635,0.9807,9.0079,59.7098268961419
"462","462",0,0,0,0,1505,0,0,0.2365,1,0.9131,0.4283,0.7532,0.7395,-0.4196,-0.6061,0.67,6,0.5881,1.1749,0.977,130.5,0.1686,1,2,5,0.8947,0.8718,11.5326,52.7054217210804
"463","463",1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.3440208220673
"464","464",0,0,0,0,659,0,0,0.3259,1,-0.3313,7e-04,-0.4317,-0.1082,0.0554,-0.6061,0.67,5,1.5141,0.7317,0.9683,63,0.2143,1,1,6,-0.5703,0.6298,10.4603,46.9316133082906
"465","465",0,0,0,0,1347,0,0,0.2028,1,0.7812,0.0788,0.7223,-0.0533,-0.7997,-0.7946,0.33,2,1.7302,-1.6823,0.9608,102,0.1618,0.9697,1,7,-0.6684,0.6298,13.2059,52.6822085990494
"466","466",0,0,0,0,319,0,1,0.8824,1,0.1316,-1.7773,0.1103,0.7395,-0.6097,-0.6061,0.58,5,-0.1328,-0.1049,0.6727,55,0.2909,1,0,7,0.4447,-0.2386,5.8,40.8874444398905
"467","467",0,0,0,1,25,0,0,0.6364,1,-0.8342,-0.6512,-0.5176,-1.3615,1.4806,0.7134,0.92,3,-1.2541,-1.6823,1,9,0.2222,1,2,2,-0.4541,-2.1182,2.7778,50.7354656081264
"468","468",0,0,0,0,NA,1,0,NA,1,0.4154,-0.4435,-0.4838,1.8133,-0.7997,-0.782,0.42,3,0.9328,-0.9308,0.9108,106.5,0.1878,0.9,2,3,0.03,-0.4789,NA,39.8532859862794
"469","469",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.3626616548679
"470","470",0,1,0,0,879,0,1,0.199,1,-0.3095,-0.1461,-0.1754,0.2668,1.4806,-0.6941,0.58,3,0.068,0.2838,0.8202,89,0.0955,0.8235,1,4,-0.3334,1.2432,9.8764,54.1973365099823
"471","471",0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.2057275218818
"472","472",1,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.4052234583499
"473","473",0,1,0,0,1708,0,1,0.1695,1,-0.0157,-1.4467,-1.223,0.3471,0.0554,-0.6941,0.58,3,0.5881,0.7237,0.7381,147,0.1599,0.9787,2,7,1.5715,1.1432,11.619,53.1995976339922
"474","474",0,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,-0.7997,-0.3422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.0798680982931
